City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
55,Loxstedt,DE,2022-11-25 03:46:52,53.4667,8.65,43.93,97,100,11.14,overcast clouds,0,0
56,Busselton,AU,2022-11-25 03:46:53,-33.65,115.3333,69.75,55,46,12.86,scattered clouds,0,0
57,Severo-Kurilsk,RU,2022-11-25 03:46:53,50.6789,156.125,33.01,63,100,12.8,overcast clouds,0,0
58,Mandalgovi,MN,2022-11-25 03:46:53,45.7625,106.2708,5.83,36,2,19.82,clear sky,0,0
59,Kaeo,NZ,2022-11-25 03:46:54,-35.1,173.7833,62.19,91,43,12.28,scattered clouds,0,0
60,Madang,PG,2022-11-25 03:46:54,-5.2246,145.7966,86.59,61,24,7.25,few clouds,0,0
61,Padang,ID,2022-11-25 03:46:55,-0.9492,100.3543,78.85,86,98,3.09,overcast clouds,0,0
62,Semey,KZ,2022-11-25 03:46:55,50.4111,80.2275,21.42,73,75,24.61,broken clouds,0,0
63,Ko Samui,TH,2022-11-25 03:46:56,9.5357,99.9357,78.71,94,40,0.0,moderate rain,0,0
64,Aleksandrovskiy Zavod,RU,2022-11-25 03:46:56,50.9237,117.9374,10.98,82,100,9.84,overcast clouds,0,0
65,Itarema,BR,2022-11-25 03:45:22,-2.9248,-39.9167,78.44,79,48,14.05,scattered clouds,0,0
66,Sibolga,ID,2022-11-25 03:46:57,1.7427,98.7792,83.62,66,93,3.49,overcast clouds,0,0
67,Tautira,PF,2022-11-25 03:46:57,-17.7333,-149.15,75.87,77,57,15.37,broken clouds,0,0
68,Esperance,AU,2022-11-25 03:46:58,-33.8667,121.9,65.82,70,53,13.24,broken clouds,0,0
69,Alofi,NU,2022-11-25 03:46:58,-19.0595,-169.9187,85.89,58,40,4.61,scattered clouds,0,0
70,Belaya Gora,RU,2022-11-25 03:46:59,68.5333,146.4167,-32.4,100,100,0.96,overcast clouds,0,0
71,Saint George,US,2022-11-25 03:43:39,37.1041,-113.5841,47.95,37,0,10.36,clear sky,0,0
72,San Patricio,US,2022-11-25 03:46:59,28.017,-97.5169,69.75,97,100,3.56,overcast clouds,0,0
73,Bud,US,2022-11-25 03:47:00,39.447,-86.1758,53.62,71,100,9.62,overcast clouds,0,0
74,Ushuaia,AR,2022-11-25 03:47:00,-54.8,-68.3,49.66,46,75,19.57,broken clouds,0,0
75,Cuiluan,CN,2022-11-25 03:47:01,47.72,128.648,27.01,83,100,4.12,overcast clouds,0,0
76,Buraydah,SA,2022-11-25 03:47:01,26.326,43.975,63.05,37,15,10.45,few clouds,0,0
77,Hovd,MN,2022-11-25 03:47:02,48.0056,91.6419,12.11,56,100,2.91,overcast clouds,0,0
78,Pangoa,PE,2022-11-25 03:47:02,-12.1167,-73.0,65.79,99,57,2.95,broken clouds,0,0
79,Castro,BR,2022-11-25 03:47:03,-24.7911,-50.0119,57.83,94,94,8.72,overcast clouds,0,0
80,Hilo,US,2022-11-25 03:47:04,19.7297,-155.09,69.53,93,100,16.11,moderate rain,0,0
81,Mecca,SA,2022-11-25 03:47:04,21.4267,39.8261,76.46,61,0,0.76,clear sky,0,0
82,Moerai,PF,2022-11-25 03:47:05,-22.4333,-151.3333,73.35,73,42,15.68,scattered clouds,0,0
83,Saskylakh,RU,2022-11-25 03:47:05,71.9167,114.0833,-11.58,94,100,10.16,overcast clouds,0,0
84,Tilichiki,RU,2022-11-25 03:47:06,60.4667,166.1,-10.41,96,13,6.35,few clouds,0,0
85,Byron Bay,AU,2022-11-25 03:45:21,-28.65,153.6167,83.71,57,1,8.95,clear sky,0,0
86,Saint-Philippe,RE,2022-11-25 03:47:06,-21.3585,55.7679,78.39,72,32,12.59,scattered clouds,0,0
87,Coos Bay,US,2022-11-25 03:45:48,43.3665,-124.2179,47.98,100,40,4.61,scattered clouds,0,0
88,Hermanus,ZA,2022-11-25 03:47:07,-34.4187,19.2345,56.08,59,15,4.99,few clouds,0,0
89,Dondo,MZ,2022-11-25 03:47:08,-19.6094,34.7431,74.71,91,40,3.83,scattered clouds,0,0
90,Ilulissat,GL,2022-11-25 03:47:09,69.2167,-51.1,15.82,53,40,9.22,scattered clouds,0,0
91,Svetlaya,RU,2022-11-25 03:47:09,46.5389,138.3297,32.07,95,100,4.9,snow,0,0
92,Atlantic City,US,2022-11-25 03:47:09,39.3643,-74.4229,50.0,85,53,9.98,broken clouds,0,0
93,Flinders,AU,2022-11-25 03:47:10,-34.5833,150.8552,76.17,67,17,5.01,few clouds,0,0
94,Longyearbyen,SJ,2022-11-25 03:47:10,78.2186,15.6401,30.04,80,75,16.11,broken clouds,0,0
95,Singapore,SG,2022-11-25 03:46:50,1.2897,103.8501,87.75,75,40,5.75,scattered clouds,0,0
96,Upernavik,GL,2022-11-25 03:47:11,72.7868,-56.1549,10.18,94,100,8.75,overcast clouds,0,0
97,Bowen,AU,2022-11-25 03:47:12,-20.0167,148.2333,81.99,65,40,18.75,scattered clouds,0,0
98,Inta,RU,2022-11-25 03:47:12,66.0317,60.1659,1.65,98,96,4.7,overcast clouds,0,0
99,Hobart,AU,2022-11-25 03:47:14,-42.8794,147.3294,57.22,79,75,10.36,light rain,0,0
100,Hambantota,LK,2022-11-25 03:47:14,6.1241,81.1185,84.54,84,20,3.44,few clouds,0,0
101,Tsiroanomandidy,MG,2022-11-25 03:47:15,-18.7667,46.0333,68.43,69,39,6.17,scattered clouds,0,0
102,Ostrovnoy,RU,2022-11-25 03:47:15,68.0531,39.5131,23.54,90,9,21.63,clear sky,0,0
103,Hamilton,US,2022-11-25 03:46:22,39.1834,-84.5333,58.05,55,100,5.75,overcast clouds,0,0
104,Avarua,CK,2022-11-25 03:47:16,-21.2078,-159.775,78.85,69,100,16.11,overcast clouds,0,0
105,Arraial Do Cabo,BR,2022-11-25 03:47:17,-22.9661,-42.0278,72.43,85,58,12.75,broken clouds,0,0
106,Acapulco,MX,2022-11-25 03:46:11,16.8634,-99.8901,78.17,83,41,3.67,scattered clouds,0,0
107,Puerto Ayora,EC,2022-11-25 03:47:17,-0.7393,-90.3518,67.55,97,55,3.0,broken clouds,0,0
108,Hami,CN,2022-11-25 03:47:18,42.8,93.45,36.0,35,94,8.95,overcast clouds,0,0
109,Zhigansk,RU,2022-11-25 03:47:18,66.7697,123.3711,-39.42,99,88,1.12,overcast clouds,0,0
110,Irbit,RU,2022-11-25 03:46:04,57.6705,63.071,-1.53,92,5,4.7,clear sky,0,0
111,Fare,PF,2022-11-25 03:47:19,-16.7,-151.0167,78.17,76,16,14.9,light rain,0,0
112,Qaanaaq,GL,2022-11-25 03:47:20,77.484,-69.3632,-0.62,93,85,6.04,overcast clouds,0,0
113,Marabba,SD,2022-11-25 03:47:20,12.35,32.1833,72.03,25,0,12.73,clear sky,0,0
114,Necochea,AR,2022-11-25 03:47:21,-38.5473,-58.7368,52.27,78,98,10.13,overcast clouds,0,0
115,Karatau,KZ,2022-11-25 03:47:22,43.1667,70.4667,49.53,60,0,22.75,clear sky,0,0
116,Charlestown,AU,2022-11-25 03:47:22,-32.95,151.6667,80.02,69,16,5.01,few clouds,0,0
117,Ewa Beach,US,2022-11-25 03:47:23,21.3156,-158.0072,75.15,55,0,18.41,clear sky,0,0
118,Norman Wells,CA,2022-11-25 03:47:23,65.282,-126.8329,8.64,85,100,13.8,light snow,0,0
119,Thompson,CA,2022-11-25 03:45:49,55.7435,-97.8558,4.66,99,79,1.05,broken clouds,0,0
120,Sobolevo,RU,2022-11-25 03:47:24,54.4299,31.8996,28.99,97,100,10.76,light snow,0,0
121,Pedro Ii,BR,2022-11-25 03:47:25,-4.4247,-41.4586,72.7,61,58,0.72,broken clouds,0,0
122,Kruisfontein,ZA,2022-11-25 03:47:25,-34.0033,24.7314,59.88,63,94,10.65,overcast clouds,0,0
123,Shache,CN,2022-11-25 03:47:25,38.4167,77.2406,46.9,23,24,0.74,few clouds,0,0
124,Juneau,US,2022-11-25 03:47:26,58.3019,-134.4197,38.21,97,75,10.36,broken clouds,0,0
125,Marzuq,YE,2022-11-25 03:47:27,14.4,46.4667,64.85,69,0,2.93,clear sky,0,0
126,Bahia Honda,CU,2022-11-25 03:47:27,22.9036,-83.1592,75.43,88,87,4.0,overcast clouds,0,0
127,Ponta Delgada,PT,2022-11-25 03:47:28,37.7333,-25.6667,65.12,72,20,18.41,few clouds,0,0
128,Sharjah,AE,2022-11-25 03:46:38,25.3573,55.4033,73.38,82,99,4.61,overcast clouds,0,0
129,Menomonie,US,2022-11-25 03:45:47,44.8755,-91.9193,33.84,100,0,5.75,clear sky,0,0
130,Anloga,GH,2022-11-25 03:47:29,5.7947,0.8973,80.2,79,11,8.79,few clouds,0,0
131,Te Anau,NZ,2022-11-25 03:47:29,-45.4167,167.7167,55.69,55,100,6.69,overcast clouds,0,0
132,Mumford,GH,2022-11-25 03:47:30,5.2618,-0.759,78.53,82,86,4.09,overcast clouds,0,0
