City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Mian Channun,PK,83.48,scattered clouds,30.44,72.3543,Fateh Din Colony
275,Iralaya,HN,77.99,moderate rain,15.0,-83.2333,Iglesia morava renovada
286,The Valley,AI,79.11,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
290,Sinnamary,GF,76.66,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
293,Kampot,KH,86.05,light rain,10.6167,104.1833,Two Moons Hotel
300,Poso,ID,79.99,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
303,Key West,US,77.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
311,Santa Marta,CO,80.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
313,Kyaukse,MM,85.59,few clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
317,Rio Verde De Mato Grosso,BR,75.56,few clouds,-18.9181,-54.8442,Quedas Palace Hotel
323,Samarai,PG,84.2,broken clouds,-10.6167,150.6667,Nuli Sapi
325,Nhulunbuy,AU,86.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
327,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
328,Touros,BR,81.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
329,Tecoanapa,MX,75.16,few clouds,16.5167,-98.75,Hotel Manglares
334,Sarangani,PH,83.88,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
336,Omboue,GA,75.56,overcast clouds,-1.5746,9.2618,Hotel Olako
337,Gboko,NG,88.66,clear sky,7.3179,8.9951,Mavillah Apartment and Suites
340,Senanga,ZM,85.57,overcast clouds,-16.1167,23.2667,Zango lodge
341,Namibe,AO,76.55,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
345,Manggar,ID,80.89,overcast clouds,-2.8833,108.2667,Guest Hotel
349,Sorong,ID,82.81,light rain,-0.8833,131.25,Waigo Splash Hotel
354,Sambava,MG,80.8,clear sky,-14.2667,50.1667,Melrose
355,Puerto Escondido,MX,76.21,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
357,Batticaloa,LK,81.79,scattered clouds,7.7102,81.6924,Treatooo Hotel
362,Marzuq,YE,79.16,clear sky,14.4,46.4667,حيد القفلة
365,Tabou,CI,82.78,clear sky,4.423,-7.3528,hotêl doufoulougou
368,Bilma,NE,78.33,clear sky,18.6853,12.9164,Expeditions Ténére voyages
372,Cap Malheureux,MU,82.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
373,Meulaboh,ID,81.77,overcast clouds,4.1363,96.1285,Kost Pria
375,Inhambane,MZ,84.18,thunderstorm,-23.865,35.3833,Oceano
378,Pathein,MM,83.35,heavy intensity rain,16.7833,94.7333,Pathein Hotel
380,Paka,MY,85.98,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
381,Tarakan,ID,85.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
385,Bowen,AU,79.66,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
386,Bac Lieu,VN,81.41,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
388,Phanom Thuan,TH,83.98,broken clouds,14.1303,99.6986,ซุ้มภุมรินทร์ไก่ชน
392,Upington,ZA,84.58,clear sky,-28.4478,21.2561,River Place Manor
396,Anloga,GH,83.5,overcast clouds,5.7947,0.8973,Pin Drop Hotel
402,Xuddur,SO,89.65,scattered clouds,4.1213,43.8894,Banjanay Hotel
404,Buin,CL,77.11,clear sky,-33.7333,-70.75,Paihuen
414,Innisfail,AU,78.91,overcast clouds,-17.5333,146.0333,Moondarra Motel
418,Savannah Bight,HN,80.78,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
426,Galle,LK,82.18,broken clouds,6.0367,80.217,Amangalla
429,Charters Towers,AU,77.4,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
431,Banda,IN,79.11,clear sky,25.4833,80.3333,Hotel Comfort-Inn
433,Souillac,MU,82.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
434,Alyangula,AU,85.26,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
444,Sao Filipe,CV,77.14,clear sky,14.8961,-24.4956,Hotel Xaguate
445,Antalaha,MG,80.49,clear sky,-14.9003,50.2788,Hotel Vitasoa
447,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
460,Broken Hill,AU,81.39,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
463,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
466,Thakurgaon,BD,80.92,clear sky,26.0333,88.4667,Chowdhury Khokon Fisheries Head Office
473,Itarema,BR,80.51,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
474,Kupang,ID,77.58,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
479,Jijiga,ET,77.05,clear sky,9.35,42.8,RAMAAS HOTEL
489,Kanchanaburi,TH,79.0,broken clouds,14.6333,99.1,แพบุญศรี
490,Yazd,IR,75.31,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
494,Auki,SB,78.28,overcast clouds,-8.7676,160.7034,Auki Motel
499,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
501,Arlit,NE,79.16,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
504,Basco,PH,81.99,broken clouds,20.4487,121.9702,Nathaniel's Lodge
522,San Nicolas,PH,84.11,few clouds,18.1725,120.5953,NORTHVIEW Hotel
529,Kathu,TH,84.02,broken clouds,7.9178,98.3332,Novotel Phuket Resort
531,Samarinda,ID,77.7,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
533,Ternate,ID,82.26,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
538,Moramanga,MG,80.69,few clouds,-18.9333,48.2,Espace VANILLA
540,Nabire,ID,78.28,light rain,-3.3667,135.4833,Hotel Nusantara I
541,Camocim,BR,78.28,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
548,Trairi,BR,81.82,overcast clouds,-3.2778,-39.2689,janelas do mar
554,Vaitape,PF,78.26,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
557,Acajutla,SV,76.37,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
560,Teknaf,BD,80.29,broken clouds,20.8624,92.3058,Forestry Guesthouse
573,Ayame,CI,85.82,few clouds,5.6083,-3.1563,Hotel Bossan
576,Denpasar,ID,76.71,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
577,Huai Yot,TH,83.82,broken clouds,7.7893,99.6348,สาม
579,Koppal,IN,85.35,overcast clouds,15.35,76.15,B S POWER HOTEL
586,Kibala,TD,89.55,clear sky,9.1104,18.3463,Prasant Hotels
592,Ambulu,ID,75.2,light rain,-8.345,113.6058,Hotel Ambulu Jember
597,Aden,YE,80.96,clear sky,12.7794,45.0367,Sama Emirate Hotel
598,Kendari,ID,79.79,scattered clouds,-3.945,122.4989,Hotel Wixel
600,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Pousada Camboinha
604,Tulungagung,ID,75.38,moderate rain,-8.0657,111.9025,Lojikka Hotel
611,Phalaborwa,ZA,79.88,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
615,Siddipet,IN,82.29,clear sky,18.1,78.85,Roads And Buildings (R&B) Guest House
619,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
626,Mitsamiouli,KM,88.09,few clouds,-11.3847,43.2844,Foyer ADM
639,Yeppoon,AU,80.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
640,Fatehpur,IN,77.4,clear sky,25.9333,80.8,Hotel Bombay Lodge
641,Alugan,PH,80.58,broken clouds,12.2188,125.4808,JM Lodge
642,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
646,Manakara,MG,83.01,broken clouds,-22.1333,48.0167,La Residence Manakara
647,Malakwal,PK,77.92,clear sky,32.5536,73.2123,Green Town
648,Grand Gaube,MU,82.8,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
652,Lorengau,PG,82.36,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
658,Saurimo,AO,77.32,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
661,Umm Lajj,SA,79.83,clear sky,25.0213,37.2685,Moon light Furnished Units
664,Sadalgi,IN,89.47,scattered clouds,16.5667,74.55,Shankar kogale
665,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
674,Mamit,IN,83.23,haze,23.9333,92.4833,R Lalvuani Building
675,Atambua,ID,77.18,heavy intensity rain,-9.1061,124.8925,Ros Muskanan
682,Bitung,ID,85.05,overcast clouds,1.4451,125.1824,K2 Lembeh
